序号,昵称,"Week24
18,蒋闪闪,《涉渡之舟》,《我们赖以生存的隐喻》,《世界在你心中》,《Feminism is for everybody》,《女神、娼妓、妻子与女奴》,《疾病的隐喻》,《迷失》,《思辨力三十五讲》,《论摄影》,《网路性猎场》,《米德尔马契》,《why i‘m no longer talking to white people about race》,《进烤箱的好日子》,《我身上有个不可战胜的夏天》,《长征》,《伴侣物种宣言》,《The Correspondent》,《呼啸山庄》,《公共人的衰落》,《要短句，亲爱的》,《浮出历史地表》,《莉莉亚娜不可战胜的夏天》,《Things in nature merely grow》,"《The master's toolwill never dismantle the master's house》
《真正的归宿》",《历史与阶级意识》,《独居日记》,《面对现代世界问题的人类学》,《置身事内》,《all her fault》,,
19,半岛铁盒,《暗处的女儿》,《一个女人的故事》,《白鹤亮翅》,《收留》,《天色已晚》,《罐头厂街》,《最后一次暗杀》,《一个行旅死亡人的故事》,《逃离的人》,《我从凉山来》,《露西娅逃离的29个春天》,《进烤箱的好日子》,《不消费的一年》,《天涯过客》,《我是寨子里长大的女孩》,《林门郑氏》,《茶马古道》,《一个阿富汗女人的再次来信》,《三只瞎老鼠》,《阿加莎·克里斯蒂自传》,《阿加莎·克里斯蒂自传》,《南苏丹》,《白雪猪头》,"《钟形罩》
《梅里雪山》",,"《四签名》
《九篇雪》",《假装上班这三年》,,《圣母》,"《三万美金的遗产》
《老虎，老虎》",
20,薯条,《容易忘记的名字》,《手机大脑》,《被争夺的身体》,,《猫舔过的伤口》,《难民》,《我们最幸福》,《塔尔奎尼亚的小马》,《竹林姐妹》,"《占据》
《天色已晚》
《简单的激情》《网路性猎场》
《在蓝色的田野上》",《无法忍受谎言的人》,"《弗兰肯斯坦》
《来自寨子里的姑娘》
《育儿放弃》",《看见》,《我无惧声名狼藉》,《推销员之死》,《莉莉亚娜不可战胜的夏天》,"《她来自马里乌波尔》
《献灯使》",《白鹤亮翅》,《美国的反智传统》,《长征》,,《老后破产》,《变成怪物的年轻一代》,,《温德米尔夫人的扇子》,《一切愁云消散》,《钟形罩》,,《弃儿》,《黄色墙纸》,
21,春日不迟（移除）,,,,,《阅读是砍向我们内心冰封大海的斧头》,,《阅读是砍向我们内心冰封大海的斧头》,,《绿毛水怪》,"《咖喱的女神》
《隐形墨水》","《咖喱的女神》
《黄油》",,,《黄油》,《明亮的夜晚》,,《明亮的夜晚》,《阿特伍德写作课》,,《国画的细节》,,,《圣母》,《布洛克小说写作手册》,《创意行为》,《创意行为·存在即答案》,《伍尔夫阅读课》,,《今天我想要什么》,,
22,逢舟,《谁能在俄罗斯过好日子》,《合租人颂歌》,"《懒惰的权利》
《那个已然饱和的夏天》",《九故事》,《五四婚姻》,《我是寨子里长大的女孩》,《竹林姐妹》,《天色已晚》,《母女关系的精神分析》,《刚刚离开的世界》,《好骨头》,"《其中一句是谎言》
 《玫瑰朝上：来自加沙的诗》",《火中遗物》,《进烤箱的好日子》,《她们赢了，然后呢》,《1789年大恐慌》,《瓦伦蒂诺》,《黄油》,《一间自己的房间》《自己的房子》,《谜一样的青年》,《厌女》,《生活的代价》,"《90后的她》
《黄色墙纸》",《莉莉亚娜不可战胜的夏天》,《拥有快乐的秘密》,《这里是亚美子》,《君幸食》,《欢迎光临休南洞书店》,《未死之身：一位乳腺癌病人的生死独白》,《抓落叶》,
23,不系之舟,《Savage Summit》,《白轮船》,《奔跑吧爸爸》,《芭比迷思》,《心是孤独的猎手》,《苹果是怎样长成的》,《在细雨中呼喊》,《天朝的崩溃》,《电影，我略知一二》,《海鸥才不管那么多》,《进烤箱的好日子》,《鲭鱼》,《半夜三更居然要吃香蕉》,"《记一忘三二》
《余光中散文》",《彼时与四季馥郁相会》,,《超越身体边界》,,《爱、鸡尾酒与生化危机》,,《要命还是要灵魂》,《莉莉亚娜不可战胜的夏天》,《跑外卖》,《海子的诗》,《伊藤润二的恐怖术》,《给麻风病人的吻》,"《她来劈开这山》
《波兰人》
《棋王》",《子弹头列车》,《与古为徒和娟娟发屋》,《娜拉在中国》,
24,鹤山,《躲在蚊子后面的大象》,,《云水一年》,《由蜜月到反目：苏联专家在中国》,,《人文草木》,,《李太白全集》,,《器官之书》,,《李贺集》,,《消失的公主》,,《未曾叙说》,,《欲望的演化》,《绿眼睛》,,《他们来到巴格达》,《长安与河北之间》,《焦虑的人》,《试探黑夜》,,《灯塔》,《园丁集》,《脏活》,,《论心灵之安宁》,
25,白雪,,《毛泽东传》,,《她们的呐喊》,,《太平公主和她的时代》,《性沟》,,,《安定此心》,《我是寨子里长大的女孩》,《生死场》,,《一小时读懂黄金投资》,《武则天研究》,《一个女人的二十四小时》,,,《长书当诉》,《往里走，安顿自己》,《生育制度》,《伪满洲国》,《伪满洲国》,《伪满洲国》,《我走不出我的黑夜》,"《群山之巅》
《今天我不愿面对自己》",,,《群山之巅》,,
26,潘酱,,《爱，鸡尾酒和生化危机》,"《时代的精神状况》
《对女性的恐惧》",《时代的精神状况》,《旧制度与大革命》,《雌犬》,"《天色已晚》
《钟形罩》","《黄色墙纸》
《Women's conflicts about eating and sexuality》",《竹林姐妹》,《收留》,"《羞耻》
《占据》","《我们内心的冲突》
《被冻住的女人》","《事件》
《爱欲之死》
《进烤箱的好日子》","《她弥留之际》
《暗处的女儿》",《我走不出我的黑夜》,《运动改造大脑》,《抗炎生活》,,《沉思的生活，或无所事事》,《初恋》,《形影不离》,"《我永远也当不了大人》
《我以为这辈子完蛋了》
《无人生还》","《简单的激情》
《生活的代价》
《藻海无边》",《涅朵奇卡》,《狐狸那时已是猎人》,《金阁寺》,,,"《即使以最微弱的光》
《剑风传奇》",,
27,🐯,《道顿崛川》,《福》,《母与子》,《无名的裘德》,《光明共和国》,《车上的女儿》,《你好，忧愁》,《爱，鸡尾酒与生化危机》,《某种微笑》,《鹿鸣馆》,《其中一种是谎言》,《农民自杀研究》,《房思琪的初恋乐园》,《进烤箱的好日子》,《梦珂》,《植物妻子》,《林门郑氏》,"《一个男人的位置》
《治愈隐性虐待》",《我不想知道的事》,《长岛》,《布鲁克林》,《自恋自伤的精神分析》,《Blue》,《捕云记》,"《猫咪会吃掉我的眼珠子吗》
《圣诞忆旧集》","《爱丽尔》
《濒临狂野的心》",《如果我们无法以光速前行》,《献灯使》,"《即使以最微弱的光》
《年轻的心在哭泣》",,
28,yugami,《控糖革命》,"《老派少女购物路线》
《俗女养成记》",《九诗心·黑暗里的文学启明》,"《私人生活》
《林门郑氏》",《看见》,"《我才不想做家务》
《小狗钱钱》",《金色梦乡》,《如首无作祟之物》,《驼背》,"《克莱因壶》
《北京地铁站名掌故》",《如果我们无法以光速前进》,《鱼不存在》,《潮汕文化源流》,《魍魉之匣》,《姑获鸟之夏》,《醉步男》,《地粮·新粮》,《被遗弃的日子》,《页边与听写》,《新名字的故事》,《小说榫卯》,《凤凰籽》,《要命还是要灵魂》,《哲学家的最后一课》,《白》,《陆小凤传奇》,《子夜》,《舟山老味道》,《东京八平米》,《心》,
29,窝窝头/wwto,,《女歌手约瑟芬或耗子民族》,,,《一个小女子》,《女性与权力》,,《女性与权利》,,《战略管理》,《战略管理》,,,《战略管理》,《战略管理》,,《战略管理》,,《战略管理》,,《战略管理》,,《战略管理》,《战略管理》,《管理学》,,,《管理学》,,《管理学》,
30,笑/阿慢,《金钱心理学》,《明亮的夜晚》,,《她对此感到厌烦》,,《她对此感到厌烦》,《我要快乐，不必正常》,《阿加莎克里斯蒂的真实人生》,,《羞耻》,《我走不出我的黑夜》,《进烤箱的好日子》,,《我要快乐，不必正常》,《被遗弃的日子》,,,"《始于极限》
《被遗弃的日子》",,《我要快乐，不必正常》,,《橘子不是唯一的水果》,《橘子不是唯一的水果》,,《看那些灯光，亲爱的》,《她对此感到厌烦》,,"《她对此感到厌烦》
《做自己 不忐忑》",《上海的狐步舞》,,
31,糯米大福说她会,《飞魂》,《猫眼》,《也不知道谁更疯：一名精神科医生的精神之旅》,《占据》,《人的境况》,《白鹤亮翅》,《迷失》,《白夜》,"《植物妻子》
《羞耻》",《进烤箱的好日子》,《和语言的漫步日记》,《挽救计划》,《通往奴役之路》,《通往奴役之路》,《母语之外的旅行》,《命若朝霜》,《呼啸山庄》,《文本盗猎者》,《唐后期皇权问题研究》,《如此陌生而奇异》,《中国如何跳出贫困陷阱》,《我身体里的人造星星》,《李斯佩克朵时刻》,《文明、现代化、价值投资与中国》,"《中国如何跳出贫困陷阱》
《建筑师》","《献灯使》
《面对现代世界的人类学》",,《檀香刑》,"《欧里庇得斯悲剧2:美狄亚》
《午夜北平：民国奇案1937》","《太多值得思考的食物》
《捕云记》",
32,海豹,《生活的艺术》,,《蚁群》,,《地下世界》,,《地下世界》,《道德浪女》,,,《遇见动物的时刻》,,《古道》,,《女性，战争与回忆》,,《天生有罪》,,《动物生活史》,,《油炸绿番茄》,,《木屋奇案》,《掌控边界》,《纸帐篷》,《纸帐篷》,,《内海渔夫》,,,
33,馒头🐳,《奥兰多》,《迷路时捡到了星星》,《盲刺客》,,,《艺术家比你看到的多在哪儿》,《半小时讲逻辑学》,,,《白鹤亮翅》,《恶棍列传》,,《有一年》,《视觉美食家》,,《像马一样思考》,《小红书爆款规律》,,《羊奶煮羊羔》,《毛泽东选集》,《龙与地下铁》,《我以为这辈子完蛋了》,,,《火锅开涮》,,《素食者》,《娜斯佳的眼泪》,,,
34,sn（移除）,,,,,,,《犹在镜中》,,,《生育制度》,,,《欧丽娟品读古诗词》,,,《乡土中国》,,,《瘸腿魔鬼》,《可能性的艺术》,,,《逊色：科学对女性做错了什么》,,《你当像鸟飞向你的山》,,《逃避自由》,,,《神的九十亿个名字》,
35,在,《北平无战事》,《人形的深渊》,,《我从凉山来》,《北平无战事》,‘,《包法利夫人》,《我是寨子里长大的女孩》,《中亚纪行》,《我的阿勒泰》,《小巷人家》,《平等悖论》,《东方快车谋杀案》,《凯列班与女巫》,《简爱》,《简爱》,《雪地上的女尸》,《傲慢与偏见》,"《一个阿富汗女人的来信》
《呼啸山庄》",《长征》,《看见》,《五只小猪》,《十角馆事件》,《克莱因壶》,《一群穷孩子的人生实验》,《飘》,《飘》,《飘》,《飘》,《飘》,
36,GYT（移除）,,,,,《工厂日记》,,《物》,,,《看见》,《独自上场》,,《夜航西飞》,,《世界金融史》,《林奕含文集》,,《小径分叉的花园》,《如何阅读一棵树》,,《如何阅读一棵树》,《拯救华尔街》,,《拯救华尔街》,《寄居者》,,《即使以最微弱的光》,,《安迪·沃霍尔》,,
37,我有一个计划做一个疯子,《白夜》,《克拉克森的农场》,《脂粉帝国》,《长日将尽》,《血疫》,《牛虻》,《间谍与叛徒》,《大众文化的女性主义指南》,《把自己作为方法》,《一百年，许多人，许多事》,《南方高速》,《暮色将尽》,《亢奋战》,《这是可以说的吗》,《苦涩的灵药》,《梦幻之街》,《沉默的麻风村往事》,《有人跳舞》,《大明王朝1566》,《大明王朝1566》,《大明王朝1566》,《相约星期二》,《蒙马特遗书》,《鳄鱼手记》,《漂亮朋友》,《同意》,《夜航西飞》,《波伏娃访谈录》,《一个无政府主义者的意外死亡》,《寂寞的游戏》,
38,Candice森,《Savage Summit》,《对女性的恐惧》,"《九故事》
 《我可以被拥抱吗？因为太过寂寞而叫了蕾丝边应召》",《惊人的蔬菜汤》,"《她们的突围》
《我们偏要大声点》
《真希望全家不生病》",《果实种子观察手册》,"《老派少女购物路线》
《我值得一个美好的春天》
《对着生活说略略略》",《如他们所说的，或什么都不是》,"《初恋》
《空衣橱》",《她一个人也很完整》,《血孩子》,《羌在汉藏之间》,"《爱的五种语言》
《进烤箱的好日子》",《波伏瓦访谈录》,《独自上场》,《父权制应激障碍》,《以日为鉴》,《黄色墙纸》,"《自然死亡调查科》
《纳瓦尔宝典》","《长征》
《中国妖鬼》",《形影不离》,"《快乐的死》
《成为波伏瓦》",《静候葡萄成熟时》,"《简单的激情》
《女性与社会权力系统》","《看那些灯光，亲爱的》
《献灯使》",《沧城》,《夜航西飞》,《九篇雪》,《雪的练习生》,《红颜来处是长安》,
39,Mian,《爱，为什么痛》,,,《女子贫困》,,《被遗弃的日子》,,,《进烤箱的好日子》,,《东京八平米》,,,《使女的故事》,,,《沉没的麻风村往事》,,,,《我已与一万株白桦树相逢》,,《你的夏天还好吗》,,《疾病的隐喻》,,《在家和彼岸之间》,,,,
40,書盡,《纷乱的心灵》,"《身体会替你说不：内心隐藏的压力如何损害健康》
《空洞的心》",,,"《你经历了什么》
《身体从未忘记》",,,《挽救计划》,《思考，快与慢》,,,《黑天鹅》,,《反脆弱》,,《非暴力沟通》,,《只为一碗好面》,,《不原谅也没关系》,《白色巨塔》,,《世界那么大，我想到处躺》,《吃着吃着就老了》,,《君幸食》,,《俱是看花人》,《十三邀：我们时代的头脑和心灵》,,
41,琉璃,,,《愤怒的葡萄》,《略萨谈博尔赫斯》,"《窄门》
《背德者》",《卡拉马佐夫兄弟》,,,,《卡拉马佐夫兄弟》,《如何抑止女性写作》,,《才女之累》,,,《布鲁克林有颗树》,,《肠子的小心思》,《一个故事的99种讲法》,《一个人的朝圣》,,《战斗细胞》,《如何假装懂音乐》,,《女人们的谈话》,《永恒的礼物》,,,,《明亮的夜晚》,
42,青衣呀,《空间的美术史》,《少年来了》,,《日常生活中的自我呈现》,《狐狸》,《涉渡之舟》,,《林门郑氏》,《人类的破坏性分析》,,,《长得好看能当饭吃吗》,《区判》,《涉渡之舟》,《进入诗歌》,,《长征》,《日常生活中的自我呈现》,《好运设计》,《女权主义在中国的翻译历程》,《美术名作二十讲》,《穿越镜子》,《汉娜·阿伦特》,《和瓦尔泽一起散步》,《赞美闲散》,《恋地情结》,"《碎片》
《油炸绿番茄》",《油炸绿番茄》,《她们自己的文学》,,
43,N./皮卡,,《大国的政治悲剧》,,,《我的情报与外交生涯》,,,《恶童日记》,,,《历史的地理枢纽》,《圣母》,,《作者不详》,,《正义的成本》,,《青年们读马克思吧》,,《制造贫困》,,《金字塔原理》,,《海上无航标》,,《紫颜色》,《我在废土世界扫垃圾》,《我在废土世界扫垃圾》,《家庭、私有制和国家的起源》,,
44,🐇（退群）,,,,,《鼠族》,《不要踏入流量的河》,,,,《女儿红》,,《女儿红》,,《女儿红》,,,《使女的故事》,,《湖水永远不会甜》,《对我无害之人》,,,《对我无害之人》,《暗处的女儿》,《我的骨头没有忘记》,《在阿尔巴尼亚长大》,,《雅各的房间》,《在阿尔巴尼亚长大》,《苔蕾丝·德斯盖鲁》,
45,自渡,"《亲爱的波伏瓦》
《成为波伏瓦》",,,"《人生借阅室》
《种子∶走出迷茫，找到人生和工作的意义》",,《幸福的方法2》,《我值得一个美好的春天》,《君幸食》,《给麻风病人的吻》,《玛格丽特·阿特伍德》,《艾丽斯·沃克》,"《热锅上的家庭》
《杀死自己……崔恩荣》
《隐墙》《血孩子》",,,《达洛维太太》,"《脑子不会好好睡》
《失语者》",《饮食代谢力》,《她来自马里乌波尔》,《闭经记》,《我，厌男》,,"《文学之冬》
《逃避自由》
《柳如是传》",《黑麦奇案》,,"《恶女的告白》
《记一忘三二》
《彩云之南》",,,《那个苹果也很好》,,,
46,游鱼,,《温柔的夜》,,《宠物侦探故事集》,,《深度数位大扫除》,,,,《俗世奇人》,,,《渊海子平》,,,,《素履之往》,,,《想天气好时去海边》,,《诗人十四个》,,《给孩子们的诗园》,,《万物自洽法则》,《家庭摄影》,,《彷徨》,,
47,Eleanor,,,《微物之神》,,,《关于女儿》,《康熙的红票》,,,《呼啸山庄》,,,《进烤箱的好日子》,,,《虽然会胖，但是还是想吃完炸鸡再睡》,,,《莉莉亚娜不可战胜的夏天》,《我需要女性主义吗》,,,《要命还是要灵魂》,,,《那不勒斯四部曲》,,《投资第一课》,《我在废土世界扫垃圾》,,
48,阎倾,《我希望我女儿活得“自私”》,,《看那些灯光，亲爱的》,《我们何以不同：人格心理学40讲》,《我，厌男》,《职场女性》,《从提问到输出》,,,"《强治理与弱治理》
《我收养了一个朋友》",,,《进烤箱的好日子》,,"《女性，战争与回忆》
《基层中国的运行逻辑》",《她来自马里乌波尔》,《我的母亲做保洁》,《语言恶女》,,《语言恶女》,,《鱼翅与花椒》,,《老昆明》,《阅读浪漫小说》,,"《谁来决定吃什么》
《权力结构、政治激励和经济增长》",,,《我在底层的生活》,
49,🍇,《孔雀菩提》,,《金钱心理学》,"《我，厌男》
《挽救计划》",《挽救计划》,,,,,《深度关系》,《时间的游戏》,,《进烤箱的好日子》,《置身事内》,《万历十五年》,《你一生的故事》,,《抓落叶》,,《长征》,《根西岛文学和土豆皮馅饼俱乐部》,,《根西岛文学和土豆皮馅饼俱乐部》,《中国哲学简史》,,《走夜路请放声歌唱》,《世界上最美的溺水者》,《世界上最美的溺水者》,,"《即使以最微弱的光》
《中国哲学简史》",
50,是鹿不是璐,《群山之巅》,,《她的国》,,《大众文化的女性主义指南》,《Driven》,《这是可以说的吗》,《黄色墙纸》,《挣脱：一个律师的女性辩护记录》,《白夜》,《你是尘埃也是光》,,《露西娅逃离的29个春天》,《香蕉、沙滩与基地》,《迪士尼乐园清洁工日记》,《一个阿富汗女人的来信》,《四魔头》,"《妇女、家庭与法律实践》
《陌生的阿富汗》",《罗杰疑案》,,《少年来了》,"《最蓝的眼睛》
《高尔夫球场命案》",《紫颜色》,"《窄门》
《跑外卖》",《雌犬》,,"《淘淘日记》
《成为忒弥斯》",,《教一只猞狸忘记动物园》,"《战争哀歌》
《女性乌托邦》",
51,大琳,"《快乐的死》
《收留》","《小羊吃了星期一二三四五》
《事件》",《不吠》,《刚刚离开的世界》,《天色已晚》,"《东京八平米》
《一个女孩的记忆》
《一个男人的位置》",《小碎肉末》,《女人们的谈话》,《她来劈开这座山》《林门郑氏》,"《他们涉海而来》
《派对恐惧症》",《777》,,"《海鸥才不管那么多》
《疼痛部》
《这是可以说的吗》",,"《不消费的一年》
《嫌疑人来喝下午茶》","《虽然会胖，但是还是想吃完炸鸡再睡》
《进烤箱的好日子》
《毒巧克力命案》",,,"《一个女人一生中的二十四小时》
《此生，你我皆短暂灿烂》",,《坏牙》,,"《白鹤亮翅》
《卢克明偷偷一笑》",《我的骨头没有忘记》,,"《结婚由我》
《第八日的蝉》","《孤岛上的两人》
《自己的房子》
《狐狸在夜晚来临》",,《生命与味觉》,,
52,梨花先雪,,,《北京纪胜》,,《房思琪的初恋乐园》,《钟形罩》,,,《宫女谈往录》,《马可瓦尔多》,《湖水永远不会甜》,,《进烤箱的好日子》,《双药记》,《活出生命的意义》,《束草的冬天》,,,"《击壤歌》
《她们的唐朝》",,《哀悼乳房》,《隐蔽的光景》,《看那些灯光，亲爱的》,《爱你就像爱生命》,《女性与社会权力系统》,"《逃离》
《我是落花生的女儿》",,,"《我在废土世界扫垃圾》
《包法利夫人》",,
53,语不惊人死不休,《宇宙无事发生》,《分成两半的子爵》,《死亡护理师》,《黄油》,,,《美丽新世界》,,,《恶女的告白》,《山茶文具店》,,《进烤箱的好日子》,《被嫌弃的松子的一生》,《被嫌弃的松子的一生》,《你也喜欢勃拉姆斯吗》,,《足利女童连续失踪案》,《桶川跟踪狂杀人事件》,《失控的玩具》,《作者不详》,《绝叫》,《绝叫》,《西线无战事》,《西线无战事》,《油炸绿番茄》,"《X的悲剧》
《往复书简》",,《眠》,《作者不详 上》,
54,加油啃书的李秋天（移除）,,,,《黄油》,,《流金岁月》,,,《了不起的狐狸爸爸》,,《你好旧时光》,,,《冷到下雪》,,,《闪灵》,,《错误的喜剧》,,,《82年生的金智英》,,《肠子的小心思》,《飘》,《控方证人》,,《潘金莲之前世今生》,,《胭脂扣》,
55,卯（移除）,,,,,《海鸥才不管那么多》,,,《痛快的日子》,,,《海风中失落的血色馈赠》,,,《黄色墙纸》,,,《帷幕》,,《她弥留之际》,,,《香水巡礼》,,,《乌贼骨：蒙塔莱诗集》,,《我的骨头没有忘记》,,阿尔吉侬、查理与我：我的创始回忆和小说初始版》,,
56,大葫芦（退群）,,,,,,,,,,,,《罗马人的故事全集》,《罗马人的故事全集15》,《罗马人故事全集15》,《罗马人的故事全集15》,,,《罗马人故事全集15》,《罗马人故事全集15》,《罗马人故事全集15》,《罗马人故事全集15》,《欧丽娟品读古诗词》,《中国大历史：先秦史》,,,"《逃避自由》
《赞美闲散》",《佛学与中医学》,《理解人性》,《一切愁云消散》,《人性论》,
57,z,,,《雨》,《雷雨》,,,《雨季不再来》,,,,《第十三章》,《步履不停》,,,,《没有悲伤的城市》,,,,《格外的活法》,《是家人，也是凶手》,,,《我是寨子里长大的女孩》,,《小狗钱钱》,,,《毛毛：时间窃贼和一个小女孩的不可思议的故事》,,
58,静溪,,《葬礼之后》,,"《我选择独自一人》
《记一忘三二》",,,《猫舔过伤口》,《她弥留之际》,《我收养了一个朋友》,《糜骨之壤》,《百合圣经》,,《想想就开心》,,《献灯使》,"《东京八平米》
《赤脚医生》《错爱》
《猫的摇篮》",《俗女养成记》,《把晚餐放进抽屉》,《河流之齿》,,,《加勒比海之谜》,《事件》,《寻找声音》,"《大众文化的女性主义指南》
《双生溺影》
《看那些灯光，亲爱的》",,《钟形罩》,,《Glitch Feminism》,,
59,雪落于水🐹,《黄色墙纸》,,,《像人类学家一样思考》,,《天真的人类学家》,,,,《我走不出我的黑夜》,,,《进烤箱的好日子》,《卡拉马佐夫兄弟》,,,,,"《明亮的夜晚》
《罗杰疑案》",,,《城市散步学》,,,《存在主义是一种人道主义》,,《夜晚的潜水艇》,,,,
60,桃李（移除）,,,,,,,,,,《写作与生活》,《油炸绿番茄》,,,《一生之敌》,《捕云记》,,,《黄油》,,《Things in Nature Merely Grow》,"《即使以最微弱的光》
《生活的代价》",《流行音乐与资本主义》,《即使以最微弱的光》,"《别想摆脱书》
《春谬集》
《看那些灯光，亲爱的》",《“娜拉”在中国》,"《根西岛文学和土豆皮馅饼俱乐部》
《献灯使》
《君幸食》",《钟形罩》,《盐、脂肪、酸、热》,,,
61,金鱼,《Femlandia》,《外面的世界》,《在其他的世界》,《疯癫亚当》,《事件》,《洪水之年》,《简单的激情》,《小说的艺术》,《对我无害之人》,《对我无害之人》,《羚羊与秧鸡》,《我在伊朗长大》,《荒木飞吕彦的漫画术》,"《一个阿富汗女人的来信》
《血孩子》",《如何创作科幻小说与奇幻小说》,《中国历代政治得失》,《中国历代政治得失》,《小说面面观》,"《纸帐篷》
《黑暗中的谋杀》",《好骨头》,《豹》,《雪的练习生》,,《对我无害之人》,,,《献灯使》,《我，厌男》,,,
62,白日梦εïзᝰ（移除）,,,,,,,,,,《拒绝参加游戏》,《心的散步》,,《山茶文具店》,,《要有光》,,《痛快的日子》,《要命还是要灵魂》,《天赋如此》,《加勒比海之谜》,《灰雁的四季》,《复仇女神》,,"《寻味东西》
《简单的激情》","《女性卫生用品的社会史》
《一个人的悠闲时光》",,"《林门郑氏》
《即使不努力》",,《明亮的夜晚》,,
63,烤全鱼烧鸡（移除）,,,,《克莱因壶》,《流俗地》,,《涅朵奇卡》,,《白夜》,,《进烤箱的好日子》,,,《呼啸山庄》,《帷幕》,,,《遥远的向日葵地》,《巷里林泉》,《记一忘三二》,,,《莉莉亚娜不可战胜的夏天》,《生活的代价》,《五只小猪》,,,《爱情和其他魔鬼》,,,
64,沙拉酱,《安定此心》,《屁事也疯狂》,,《密室黄金时代的杀人事件》,,《睡眠革命》,,,《人机对齐》,,,《傲慢与偏见》,《地铁2033》,,《黄金案》,,"《象之首》
《神奇的魁地奇球》",,,"《黄油》
《自然死亡调查科》",《高楼坠我》,《死线已是十天前》,《去家访》,,《父亲的解放日志》,《扶贫手记》,,,《第十三层空间》,,
65,孙雪竹,,《十八岁出门远行》,,《中国古代文化常识》,,《谁把世界糟蹋成这样》,,,《厌女》,《了凡四训》,,,《生育制度》,,《素食者》,,《马王堆考古手记》,,《透过地理看历史》,,《灸绳》,《可能性的艺术》,,,《有本事》,,,《八大危机》,,,
66,Miraitowa,,《乌合之众》,,《控糖革命》,,《贪婪的多巴胺》,,,《愤怒的葡萄》,,《特雷庇姑娘》,,《中国历代政治得失》,,"《芯片战争》
《乡土中国》",,,《置身事内》,"《克林索尔最后的夏天》
《暮色将尽》",《死魂灵》,《死魂灵》,《一个女人的故事》,,《父权制与资本主义》,《雪国》,《钟形罩》,,《以日为鉴》,,,
67,李蛋卷,《我的阿勒泰》,《高尔夫球场命案》,《出走的娜拉：萧红与她漫长的冬夜》,《告白》,《1367》,,《纵乐的困惑》,《呼兰河传》,《午餐酒1》,《一个女人的故事》,《斯泰尔斯庄园奇案》,《我的骨头没有忘记》,"《玻璃之锤》
《进烤箱的好日子》",《时空旅行者的沙漏》,《长征》,《莉莉亚娜不可战胜的夏天》,《马洛谋杀俱乐部》,,《十九年间谋杀小叙》,《体育馆之谜》,《献给名侦探的甜美死亡》,"《罗杰疑案》
《根西岛文学和土豆皮馅饼俱乐部》",《九诗心》,《看那些灯光，亲爱的》,《Blue》,《天真的人类学家》,,,,,
68,关关（退）,,,,,,,《世上为什么要有图书馆》,,,,《女性与社会权力系统》,,"《未经删节》
《她的国》","《使女的故事》
《盐镇》
《这是可以说的吗》
《伐木：一场情感波澜》",《父权制应激障碍》,"《黄色墙纸》
《还可以的金女士》",,《控糖革命》,"《我，厌男》
《爱说教的男人》
《你的孩子不是你的孩子》",,"《女孩之城》
《生活的代价》","《她厌男，她是我女友》
《蝇王》","《父权制与资本主义》
《团圆记》
《我灵魂里的女性》",《我才不要做家务》,《成为波伏瓦》,,,,,,
69,半个西瓜,《我是在寨子里长大的女孩 》,,《猫舔过伤口》,,,《不在他方》,,《流俗地》,,《占据》,,《事件》,《进烤箱的好日子》,《玩笑》,《玩笑》,《她弥留之际》,《人鼠之间》,,,《生活的代价》,,《漫游在雨中池塘》,,《老派少女购物路线》,《老派少女购物路线》,《关于偶像，一边纠结一边思考》,,,,,
70,杳夭（移除）,,,,,,,,,,,,,,,,《林门郑氏》,,,,《明暗》,,,《我的天才女友》,,《生活，写下来吧》,,,,,,
70,小林吃鱼（移除）,,,,,,,,《变形记》,,,《局外人》,,,,《新首尔公园软糖嘉年华》,,,《许三观卖血记》,,,,,《任意车站》,,,,,,,,
